Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,îscar C—rdoba,G,6'01,185.42,13 01,02/03/1970,24,Cali,Am_rica Cali,Colombia,A
2,Andr_s Escobar,D,6'00,182.88,12 06,13/03/1967,27,Medell’n,Atl_tico Nacional,Colombia,A
3,Alexis Mendoza,D,5'11,180.34,11 05,08/11/1961,32,Barranquilla,Atl_tico Junior,Colombia,A
4,Luis Fernando Herrera,D,5'06,167.64,09 08,12/06/1962,32,Medell’n,Atl_tico Nacional,Colombia,A
5,Herm‡n Gaviria,M,6'00,182.88,11 09,27/11/1969,24,Carepa,Atl_tico Nacional,Colombia,A
6,Gabriel G—mez,M,5'07,170.18,11 00,08/12/1959,34,Medell’n,Atl_tico Nacional,Colombia,A
7,Antony de çvila,F,5'04,162.56,09 08,21/12/1964,29,Santa Marta,Am_rica Cali,Colombia,A
8,John Harold Lozano,M,6'04,193.04,13 05,30/03/1972,22,Cali,Am_rica Cali,Colombia,A
9,Iv‡n Ren_ Valenciano,F,5'10,177.8,12 04,18/03/1972,22,Barranquilla,Atl_tico Junior,Colombia,A
10,Carlos Valderrama,M,5'10,177.8,12 00,02/09/1961,32,Santa Marta,Atl_tico Junior,Colombia,A
11,Adolfo Valencia,F,6'00,182.88,12 02,06/02/1968,26,Buenaventura,Bayern Munich,Colombia,A
12,Farid Mondrag—n,G,6'02,187.96,14 11,21/06/1971,22,Cali,Argentinos Juniors,Colombia,A
13,N_stor Ortiz,D,,,,26/09/1968,25,Turbo,Once Caldas,Colombia,A
14,Leonel çlvarez,M,5'11,180.34,11 09,29/07/1965,28,Remedios,Am_rica Cali,Colombia,A
15,Luis Carlos Perea,D,5'11,180.34,12 06,29/12/1963,30,Turbo,Atl_tico Junior,Colombia,A
16,V’ctor Aristiz‡bal,F,5'09,175.26,11 09,09/12/1971,22,Medell’n,Atl_tico Nacional,Colombia,A
17,Mauricio Serna,M,5'06,167.64,11 00,22/01/1968,26,Medell’n,Atl_tico Nacional,Colombia,A
18,îscar Cort_s,M,,,,19/10/1968,25,Bogot‡,Millonarios,Colombia,A
19,Freddy Rinc—n,M,6'02,187.96,12 11,14/08/1966,27,Buenaventura,Palmeiras,Colombia,A
20,Wilson P_rez,D,,,,09/08/1967,26,Barranquilla,Am_rica Cali,Colombia,A
21,Faustino Asprilla,F,5'09,175.26,11 03,10/11/1969,24,Tulu‡,Parma,Colombia,A
22,Jos_ Mar’a Pazo,G,6'00,182.88,11 05,04/04/1964,30,,Atl_tico Junior,Colombia,A
1,Florin Prunea,G,6'00,182.88,12 02,08/08/1968,25,Bucharest,Dinamo Bucure_ti,Romania,A
2,Dan Petrescu,D,5'10,177.8,11 07,22/12/1967,26,Bucharest,Genoa,Romania,A
3,Daniel Prodan,D,6'02,187.96,13 08,23/03/1972,22,Satu Mare,Steaua Bucure_ti,Romania,A
4,Miodrag Belodedici,D,6'01,185.42,12 04,20/05/1964,30,Socol,Valencia,Romania,A
5,Ioan Lupescu,M,6'00,182.88,11 11,09/12/1968,25,Bucharest,Bayer Leverkusen,Romania,A
6,Gheorghe Popescu,M,6'02,187.96,13 01,09/10/1967,26,Calafat,PSV Eindhoven,Romania,A
7,Dorinel Munteanu,M,5'07,170.18,11 05,25/06/1968,25,Gr_dinari,Cercle Brugge,Romania,A
8,Iulian Chiri__,M,,,,02/02/1967,27,T‰rgovi_te,Rapid Bucure_ti,Romania,A
9,Florin R_ducioiu,F,5'10,177.8,11 06,17/03/1970,24,Bucharest,Milan,Romania,A
10,Gheorghe Hagi,M,5'07,170.18,09 11,05/02/1965,29,S_cele,Brescia,Romania,A
11,Ilie Dumitrescu,M,5'09,175.26,10 07,06/01/1969,25,Bucharest,Steaua Bucure_ti,Romania,A
12,Bogdan Stelea,G,6'03,190.5,13 10,05/12/1967,26,Bucharest,Rapid Bucure_ti,Romania,A
13,Tibor Selymes,D,5'09,175.26,11 07,14/05/1970,24,B_lan,Cercle Brugge,Romania,A
14,Gheorghe Mihali,D,5'10,177.8,,09/12/1965,28,Baia-Bor_a,Dinamo Bucure_ti,Romania,A
15,Basarab Panduru,M,5'08,172.72,10 08,11/07/1970,23,M‰rz_ne_ti,Steaua Bucure_ti,Romania,A
16,Ion Vl_doiu,F,5'07,170.18,11 05,05/11/1968,25,C_line_ti,Rapid Bucure_ti,Romania,A
17,Viorel Moldovan,F,5'10,177.8,11 11,08/08/1972,21,Bistri_a,Dinamo Bucure_ti,Romania,A
18,Constantin G‰lc_,M,5'10,177.8,11 07,08/03/1972,22,Bucharest,Steaua Bucure_ti,Romania,A
19,Corneliu Papur_,M,6'01,185.42,12 02,05/09/1973,20,Craiova,Universitatea Craiova,Romania,A
20,Ovidiu St”ng_,F,5'07,170.18,11 05,05/12/1972,21,Craiova,Universitatea Craiova,Romania,A
21,Marian Ivan,F,,,,01/06/1969,25,Bucharest,Bra_ov,Romania,A
22,_tefan Preda,G,6'02,187.96,11 09,18/06/1970,23,Ploie_ti,Petrolul Ploie_ti,Romania,A
1,Marco Pascolo,G,6'02,187.96,14 02,09/05/1966,28,Sion,Servette,Switzerland,A
2,Marc Hottiger,D,5'09,175.26,10 08,07/11/1967,26,Lausanne,Sion,Switzerland,A
3,Yvan Quentin,D,5'09,175.26,11 05,02/05/1970,24,Collombey-Muraz,Sion,Switzerland,A
4,Dominique Herr,D,6'00,182.88,12 08,25/10/1965,28,Basel,Sion,Switzerland,A
5,Alain Geiger,D,5'11,180.34,12 06,05/11/1960,33,Uvrier,Sion,Switzerland,A
6,Georges Bregy,M,5'09,175.26,11 03,17/01/1958,36,Raron,Young Boys,Switzerland,A
7,Alain Sutter,M,5'09,175.26,11 03,22/01/1968,26,Bern,NŸrnberg,Switzerland,A
8,Christophe Ohrel,M,5'09,175.26,10 12,07/04/1968,26,Strasbourg,Servette,Switzerland,A
9,Adrian Knup,F,6'00,182.88,12 04,02/07/1968,25,Liestal,Stuttgart,Switzerland,A
10,Ciriaco Sforza,M,5'11,180.34,12 04,02/03/1970,24,Wohlen,Kaiserslautern,Switzerland,A
11,St_phane Chapuisat,F,5'11,180.34,11 11,28/06/1969,24,Lausanne,Borussia Dortmund,Switzerland,A
12,Stephan Lehmann,G,6'02,187.96,13 05,15/08/1963,30,Schaffhausen,Sion,Switzerland,A
13,Andr_ Egli,D,6'00,182.88,12 06,08/05/1958,36,B_retswil,Servette,Switzerland,A
14,Nestor Subiat,F,6'00,182.88,13 01,23/04/1966,28,Buenos Aires,Lugano,Switzerland,A
15,Marco Grassi,F,6'02,187.96,13 08,08/08/1968,25,Chiasso,Servette,Switzerland,A
16,Thomas Bickel,M,6'00,182.88,12 04,06/10/1963,30,Aarberg,Grasshoppers,Switzerland,A
17,S_bastien Fournier,M,5'11,180.34,11 11,27/06/1971,22,Nendaz,Sion,Switzerland,A
18,Martin Rueda,D,,,,09/01/1963,31,ZŸrich,Luzern,Switzerland,A
19,JŸrg Studer,D,5'07,170.18,10 10,08/09/1966,27,RŸttenen,ZŸrich,Switzerland,A
20,Patrick Sylvestre,M,5'09,175.26,10 12,07/04/1968,26,Bure,Lausanne,Switzerland,A
21,Thomas Wyss,M,5'08,172.72,11 00,29/08/1966,27,,Aarau,Switzerland,A
22,Martin Brunner,G,6'01,185.42,12 13,23/04/1963,31,ZŸrich,Grasshoppers,Switzerland,A
1,Tony Meola,G,6'01,185.42,14 09,21/02/1969,25,Belleville,Fort Lauderdale Strikers,USA,A
2,Mike Lapper,D,6'00,182.88,12 04,28/08/1970,23,Huntington Beach,Wolfsburg,USA,A
3,Mike Burns,D,5'09,175.26,11 11,14/09/1970,23,Marlborough,,USA,A
4,Cle Kooiman,D,6'01,185.42,13 08,04/07/1963,30,Ontario,Cruz Azul,USA,A
5,Thomas Dooley,D,6'00,182.88,12 00,12/05/1961,33,Bechhofen,Bayer Leverkusen,USA,A
6,John Harkes,M,5'11,180.34,11 00,08/03/1967,27,Kearny,Derby Co,USA,A
7,Hugo Perez,M,5'10,177.8,11 05,06/10/1968,25,,,USA,A
8,Earnie Stewart,M,5'09,175.26,10 06,28/03/1969,25,Veghel,Willem II,USA,A
9,Tab Ramos,M,5'07,170.18,10 10,21/09/1966,27,Montevideo,Betis,USA,A
10,Roy Wegerle,F,5'11,180.34,11 11,19/03/1964,30,Pretoria,Coventry C,USA,A
11,Eric Wynalda,F,6'01,185.42,12 06,09/06/1969,25,Westlake Village,SaarbrŸcken,USA,A
12,Juergen Sommer,G,6'05,195.58,15 06,27/02/1969,25,New York,Luton T,USA,A
13,Cobi Jones,M,5'07,170.18,10 05,16/06/1970,24,Detroit,Coventry C,USA,A
14,Frank Klopas,F,5'09,175.26,11 00,01/09/1966,27,Prosimna,,USA,A
15,Joe-Max Moore,F,5'09,175.26,10 10,23/02/1971,23,Tulsa,,USA,A
16,Mike Sorber,M,5'10,177.8,11 11,14/05/1971,23,Florissant,,USA,A
17,Marcelo Balboa,D,6'00,182.88,12 04,08/08/1967,26,Chicago,,USA,A
18,Brad Friedel,G,6'04,193.04,14 05,18/05/1971,23,Lakewood,,USA,A
19,Claudio Reyna,M,5'10,177.8,11 05,20/07/1973,20,Livingston,,USA,A
20,Paul Caligiuri,D,5'11,180.34,12 08,09/03/1964,30,Westminster,Hansa Rostock,USA,A
21,Fernando Clavijo,D,5'07,170.18,11 07,23/01/1957,37,Maldonado,,USA,A
22,Alexi Lalas,D,6'03,190.5,14 00,01/06/1970,24,"Birmingham, MI",,USA,A
1,Tony Meola,G,6'01,185.42,14 09,21/02/1969,25,Belleville,Fort Lauderdale Strikers,Brazil,B
2,Mike Lapper,D,6'00,182.88,12 04,28/08/1970,23,Huntington Beach,Wolfsburg,Brazil,B
3,Mike Burns,D,5'09,175.26,11 11,14/09/1970,23,Marlborough,,Brazil,B
4,Cle Kooiman,D,6'01,185.42,13 08,04/07/1963,30,Ontario,Cruz Azul,Brazil,B
5,Thomas Dooley,D,6'00,182.88,12 00,12/05/1961,33,Bechhofen,Bayer Leverkusen,Brazil,B
6,John Harkes,M,5'11,180.34,11 00,08/03/1967,27,Kearny,Derby Co,Brazil,B
7,Hugo Perez,M,5'10,177.8,11 05,06/10/1968,25,,,Brazil,B
8,Earnie Stewart,M,5'09,175.26,10 06,28/03/1969,25,Veghel,Willem II,Brazil,B
9,Tab Ramos,M,5'07,170.18,10 10,21/09/1966,27,Montevideo,Betis,Brazil,B
10,Roy Wegerle,F,5'11,180.34,11 11,19/03/1964,30,Pretoria,Coventry C,Brazil,B
11,Eric Wynalda,F,6'01,185.42,12 06,09/06/1969,25,Westlake Village,SaarbrŸcken,Brazil,B
12,Juergen Sommer,G,6'05,195.58,15 06,27/02/1969,25,New York,Luton T,Brazil,B
13,Cobi Jones,M,5'07,170.18,10 05,16/06/1970,24,Detroit,Coventry C,Brazil,B
14,Frank Klopas,F,5'09,175.26,11 00,01/09/1966,27,Prosimna,,Brazil,B
15,Joe-Max Moore,F,5'09,175.26,10 10,23/02/1971,23,Tulsa,,Brazil,B
16,Mike Sorber,M,5'10,177.8,11 11,14/05/1971,23,Florissant,,Brazil,B
17,Marcelo Balboa,D,6'00,182.88,12 04,08/08/1967,26,Chicago,,Brazil,B
18,Brad Friedel,G,6'04,193.04,14 05,18/05/1971,23,Lakewood,,Brazil,B
19,Claudio Reyna,M,5'10,177.8,11 05,20/07/1973,20,Livingston,,Brazil,B
20,Paul Caligiuri,D,5'11,180.34,12 08,09/03/1964,30,Westminster,Hansa Rostock,Brazil,B
21,Fernando Clavijo,D,5'07,170.18,11 07,23/01/1957,37,Maldonado,,Brazil,B
22,Alexi Lalas,D,6'03,190.5,14 00,01/06/1970,24,"Birmingham, MI",,Brazil,B
1,Joseph-Antoine Bell,G,6'00,182.88,12 06,08/10/1954,39,Mouand_,Saint-ƒtienne,Cameroon,B
2,Andr_ Kana-Biyik,D,6'00,182.88,12 08,01/09/1965,28,Sakbayeme,Le Havre,Cameroon,B
3,Rigobert Song,D,5'10,177.8,11 11,01/07/1976,17,Nkenlicock,Tonnerre Yaound_,Cameroon,B
4,Samuel Ek_m_,D,5'09,175.26,11 05,12/07/1966,27,Yaound_,Canon Yaound_,Cameroon,B
5,Victor Ndip,D,5'09,175.26,12 04,28/08/1967,26,Tiko,Olympic Mwolye,Cameroon,B
6,Thomas Libiih,M,5'10,177.8,10 03,17/11/1967,26,,OC Medine,Cameroon,B
7,François Omam-Biyik,F,6'01,185.42,12 02,21/05/1966,28,Sakbayeme,Lens,Cameroon,B
8,Emile Mbouh,M,5'05,165.1,10 12,30/05/1966,28,,Nadi Qatar,Cameroon,B
9,Roger Milla,F,5'09,175.26,11 05,20/05/1952,42,Yaound_,Tonnerre Yaound_,Cameroon,B
10,Louis-Paul Mf_d_,M,5'10,177.8,11 11,26/02/1961,33,,Canon Yaound_,Cameroon,B
11,Emmanuel Maboang,M,5'07,170.18,11 05,27/11/1968,25,,Rio Ave,Cameroon,B
12,Paul Loga,M,5'09,175.26,11 05,14/08/1969,24,Douala,Prevoyance Yaound_,Cameroon,B
13,Raymond Kalla,D,6'04,193.04,14 00,24/04/1975,19,Douala,Canon Yaound_,Cameroon,B
14,Stephen Tataw,D,6'00,182.88,12 00,31/03/1963,31,,Olympic Mwolye,Cameroon,B
15,Hans Agbo,D,5'06,167.64,09 08,26/09/1967,26,Douala,Olympic Mwolye,Cameroon,B
16,Alphonse Tchami,F,6'00,182.88,12 06,14/09/1971,22,Bafang,Odense,Cameroon,B
17,Marc-Vivien Fo_,M,6'03,190.5,13 03,01/05/1975,19,Nkolo,Canon Yaound_,Cameroon,B
18,Jean-Pierre Fiala,M,6'00,182.88,12 00,22/04/1969,25,,Canon Yaound_,Cameroon,B
19,David Emb_,F,5'05,165.1,11 00,13/11/1973,20,,Belenenses,Cameroon,B
20,Georges Mouy_m_,F,5'10,177.8,11 03,15/04/1971,23,Douala,Troyes,Cameroon,B
21,Thomas Nkono,G,6'00,182.88,12 08,20/07/1955,38,Dizangue,Hospitalet,Cameroon,B
22,Jacques Songo'o,G,6'00,182.88,12 11,17/03/1964,30,Sakbayenne,Metz,Cameroon,B
1,Stanislav Cherchesov,G,6'00,182.88,12 06,02/09/1963,30,Alagir,Dynamo Dresden,Russia,B
2,Dmitri Kuznetsov,M,6'00,182.88,12 04,28/08/1965,28,,Espanyol,Russia,B
3,Sergei Gorlukovich,D,6'00,182.88,12 08,18/11/1961,32,Boruny,Bayer Uerdingen,Russia,B
4,Dmitri Galiamin,D,,,,08/01/1963,31,Moscow,Espanyol,Russia,B
5,Yuri Nikiforov,D,6'02,187.96,13 12,16/09/1970,23,Odessa,Spartak Moscow,Russia,B
6,Vladislav Ternavski,D,,,,02/05/1969,25,,Spartak Moscow,Russia,B
7,Andrey Pyatnitskiy,M,6'00,182.88,,27/09/1967,26,Tashkent,Spartak Moscow,Russia,B
8,Dmitri Popov,M,5'09,175.26,11 00,27/02/1967,27,,Racing Santander,Russia,B
9,Oleg Salenko,F,5'11,180.34,11 05,25/10/1969,24,Leningrad,Valencia,Russia,B
10,Valery Karpin,M,6'01,185.42,12 00,02/02/1969,25,Narva,Spartak Moscow,Russia,B
11,Vladimir Beschastnykh,F,6'00,182.88,12 00,01/04/1974,20,Moscow,Spartak Moscow,Russia,B
12,Omari Tetradze,D,5'09,175.26,11 05,13/10/1969,24,Velospiri,Dynamo Moscow,Russia,B
13,Aleksandr Borodyuk,F,6'00,182.88,12 00,30/11/1962,31,Voronezh,Freiburg,Russia,B
14,Igor Korneev,M,5'08,172.72,10 12,04/09/1967,26,Moscow,Espanyol,Russia,B
15,Dmitri Radchenko,F,6'01,185.42,12 00,02/12/1970,23,Leningrad,Racing Santander,Russia,B
16,Dmitri Kharine,G,6'02,187.96,12 08,16/08/1968,25,Moscow,Chelsea,Russia,B
17,Ilia Tsymbalar,M,5'10,177.8,11 03,17/06/1969,25,Odessa,Spartak Moscow,Russia,B
18,Viktor Onopko,D,6'01,185.42,12 04,14/10/1969,24,Voroshilovgrad,Spartak Moscow,Russia,B
19,Aleksandr Mostovoi,M,5'10,177.8,11 09,22/08/1968,25,Leningrad,Benfica,Russia,B
20,Igor Lediakhov,M,6'02,187.96,12 08,22/05/1968,26,Sochi,Spartak Moscow,Russia,B
21,Dmitri Khlestov,D,5'09,175.26,11 00,21/01/1971,23,Moscow,Spartak Moscow,Russia,B
22,Sergei Yuran,F,5'10,177.8,12 08,11/06/1969,25,Lugansk,Benfica,Russia,B
1,Thomas Ravelli,G,6'01,185.42,12 13,13/08/1959,34,V_xj_,IFK G_teborg,Sweden,B
2,Roland Nilsson,D,5'10,177.8,11 10,27/11/1963,30,Helsingborg,Sheffield W,Sweden,B
3,Patrik Andersson,D,6'01,185.42,13 08,18/08/1971,22,Borgeby,B M_nchengladbach,Sweden,B
4,Joachim Bj_rklund,D,6'00,182.88,12 06,15/03/1971,23,V_xj_,IFK G_teborg,Sweden,B
5,Roger Ljung,D,6'01,185.42,12 06,08/01/1966,28,Lomma,Galatasaray,Sweden,B
6,Stefan Schwarz,M,6'00,182.88,12 00,18/04/1969,25,Malm_,Benfica,Sweden,B
7,Henrik Larsson,F,5'10,177.8,12 00,20/09/1971,22,Helsingborg,Feyenoord,Sweden,B
8,Klas Ingesson,M,6'03,190.5,14 00,20/08/1968,25,…desh_g,PSV Eindhoven,Sweden,B
9,Jonas Thern,M,6'00,182.88,11 07,20/03/1967,27,V_rnamo,Napoli,Sweden,B
10,Martin Dahlin,F,6'00,182.88,13 03,16/04/1968,26,Lund,B M_nchengladbach,Sweden,B
11,Tomas Brolin,F,5'09,175.26,11 07,29/11/1969,24,Hudiksvall,Parma,Sweden,B
12,Lars Eriksson,G,6'01,185.42,13 05,21/09/1965,28,Stockholm,Norrk_ping,Sweden,B
13,Mikael Nilsson,D,6'01,185.42,12 13,28/09/1968,25,Falk_ping,IFK G_teborg,Sweden,B
14,Pontus KŒmark,D,5'10,177.8,12 04,05/04/1969,25,V_sterŒs,IFK G_teborg,Sweden,B
