Number,Name,Nat,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Group
1,Hugo Lloris,FRA,G,1.88,188,78,26/12/1986,23,Nice,Lyon,A
2,Bacary Sagna,FRA,D,1.76,176,72,14/02/1983,27,Sens,Arsenal,A
3,Eric Abidal,FRA,D,1.86,186,75,11/07/1979,30,Lyon,Barcelona,A
4,Anthony R_veillère,FRA,D,1.81,181,76,10/11/1979,30,Dou_-La-Fontaine,Lyon,A
5,William Gallas,FRA,D,1.83,183,72,17/08/1977,32,Asnieres,Arsenal,A
6,Marc Planus,FRA,D,1.83,183,76,07/03/1982,28,Bordeaux,Bordeaux,A
7,Franck Rib_ry,FRA,M,1.7,170,73,01/04/1983,27,Boulogne-sur-Mer,Bayern Munich,A
8,Yoann Gourcuff,FRA,M,1.85,185,79,11/07/1986,23,Lorient,Bordeaux,A
9,Djibril Ciss_,FRA,F,1.82,182,78,12/08/1981,28,Arles,Panathinaikos,A
10,Sidney Govou,FRA,F,1.75,175,75,27/07/1979,30,Le Puy-en-Valay,Lyon,A
11,Andr_-Pierre Gignac,FRA,F,1.87,187,84,12/05/1985,25,Martigues,Toulouse,A
12,Thierry Henry,FRA,F,1.88,188,83,17/08/1977,32,Les Ulis,Barcelona,A
13,Patrice Evra,FRA,D,1.75,175,76,15/05/1981,29,Dakar,Manchester U,A
14,J_r_my Toulalan,FRA,M,1.83,183,77,10/09/1983,26,Nantes,Lyon,A
15,Florent Malouda,FRA,M,1.81,181,73,13/06/1980,29,Cayenne,Chelsea,A
16,Steve Mandanda,FRA,G,1.85,185,82,28/03/1985,25,Kinshasa,Marseille,A
17,S_bastien Squillaci,FRA,D,1.84,184,76,11/08/1980,29,Toulon,Sevilla,A
18,Alou Diarra,FRA,M,1.9,190,79,15/07/1981,28,Villepinte,Bordeaux,A
19,Abou Diaby,FRA,M,1.88,188,75,11/05/1986,24,Paris,Arsenal,A
20,Mathieu Valbuena,FRA,M,1.67,167,58,28/09/1984,25,Bordeaux,Marseille,A
21,Nicolas Anelka,FRA,F,1.85,185,77,14/03/1979,31,Versailles,Chelsea,A
22,Ga‘l Clichy,FRA,D,1.81,181,72,26/07/1985,24,Toulouse,Arsenal,A
23,C_dric Carrasso,FRA,G,1.87,187,87,30/12/1981,28,Avignon,Bordeaux,A
1,îscar P_rez,MEX,G,1.71,171,72,01/02/1973,37,Mexico City,Cruz Azul,A
2,Francisco Rodr’guez,MEX,D,1.91,191,79,20/10/1981,28,Mazatl‡n,PSV Eindhoven,A
3,Carlos Salcido,MEX,D,1.74,174,70,02/04/1980,30,Ocotl‡n,PSV Eindhoven,A
4,Rafael M‡rquez,MEX,D,1.82,182,74,13/02/1979,31,Zamora,Barcelona,A
5,Ricardo Osorio,MEX,D,1.73,173,68,30/03/1980,30,Huajuapan De Le—n,Stuttgart,A
6,Gerardo Torrado,MEX,M,1.73,173,72,30/04/1979,31,Mexico City,Cruz Azul,A
7,Pablo Barrera,MEX,M,1.75,175,65,21/06/1987,22,Tlalnepantla de Baz,UNAM,A
8,Israel Castro,MEX,M,1.76,176,67,20/12/1980,29,Mexico City,UNAM,A
9,Guillermo Franco,MEX,F,1.82,182,76,03/11/1976,33,Corrientes,West Ham U,A
10,Cuauht_moc Blanco,MEX,F,1.77,177,70,17/01/1973,37,Mexico City,Veracruz,A
11,Carlos Vela,MEX,F,1.76,176,72,01/03/1989,21,Cancœn,Arsenal,A
12,Paul Aguilar,MEX,D,1.77,177,65,06/03/1986,24,Concordia,Pachuca,A
13,Guillermo Ochoa,MEX,G,1.83,183,73,13/07/1985,24,Guadalajara,Am_rica,A
14,Javier Hern‡ndez,MEX,F,1.72,172,62,01/06/1988,22,Guadalajara,Guadalajara,A
15,H_ctor Moreno,MEX,D,1.82,182,80,17/01/1988,22,Culiac‡n,AZ Alkmaar,A
16,Efrain Ju‡rez,MEX,D,1.72,172,65,22/02/1988,22,Mexico City,UNAM,A
17,Giovani dos Santos,MEX,M,1.73,173,77,11/05/1989,21,Monterrey,Tottenham H,A
18,Andr_s Guardado,MEX,M,1.69,169,60,28/09/1986,23,Guadalajara,Deportivo La Coru–a,A
19,Jonny Magall—n,MEX,D,1.78,178,74,21/11/1981,28,Ocotl‡n,Guadalajara,A
20,Jorge Torres,MEX,D,1.76,176,69,16/09/1988,21,Tijuana,Atlas,A
21,Adolfo Bautista,MEX,M,1.85,185,76,15/09/1979,30,Dolores Hidalgo,Guadalajara,A
22,Alberto Medina,MEX,M,1.72,172,63,29/05/1983,27,Culiac‡n,Guadalajara,A
23,Luis Michel,MEX,G,1.78,178,75,21/07/1979,30,Guadalajara,Guadalajara,A
1,Moeneeb Josephs,RSA,G,1.79,179,89,19/05/1980,30,Mitchell's Plain,Orlando Pirates,A
2,Siboniso Gaxa,RSA,D,1.85,185,63,06/04/1984,26,Port Elizabeth,Mamelodi Sundowns,A
3,Tsepo Masilela,RSA,D,1.75,175,70,05/05/1985,25,Witbank,Maccabi Haifa,A
4,Aaron Mokoena,RSA,D,1.85,185,82,25/11/1980,29,Johannesburg,Portsmouth,A
5,Anele Ngcongca,RSA,D,1.82,182,68,21/10/1987,22,Cape Town,KRC Genk,A
6,Macbeth Sibaya,RSA,M,1.75,175,72,25/11/1977,32,Durban,Rubin Kazan,A
7,Lance Davids,RSA,M,1.76,176,73,11/04/1985,25,Cape Town,Ajax Cape Town,A
8,Siphiwe Tshabalala,RSA,M,1.7,170,72,25/09/1984,25,Soweto,Kaizer Chiefs,A
9,Katlego Mphela,RSA,F,1.83,183,70,29/11/1984,25,Brits,Mamelodi Sundowns,A
10,Steven Pienaar,RSA,M,1.7,170,66,17/03/1982,28,Johannesburg,Everton,A
11,Teko Modise,RSA,M,1.78,178,79,22/01/1986,24,Molapo,Orlando Pirates,A
12,Reneilwe Letsholonyane,RSA,M,1.68,168,69,09/06/1982,28,White City,Kaizer Chiefs,A
13,Kagisho Dikgacoi,RSA,M,1.8,180,80,24/11/1984,25,Brandfort,Fulham,A
14,Matthew Booth,RSA,D,1.99,199,94,14/03/1977,33,Cape Town,Mamelodi Sundowns,A
15,Lucas Thwala,RSA,D,1.71,171,75,19/10/1981,28,Jeppies Reef,Orlando Pirates,A
16,Itumeleng Khune,RSA,G,1.75,175,80,20/06/1987,22,Ventersdorp,Kaizer Chiefs,A
17,Bernard Parker,RSA,F,1.7,170,72,16/03/1986,24,Boksburg,FC Twente,A
18,Siyabonga Nomvethe,RSA,F,1.78,178,74,02/12/1977,32,Kwa Mashu,Moroka Swallows,A
19,Surprise Moriri,RSA,M,1.73,173,72,20/03/1980,30,Matibidi,Mamelodi Sundowns,A
20,Bongani Khumalo,RSA,D,1.88,188,82,06/01/1987,23,Manzini,SuperSport U,A
21,Siyabonga Sangweni,RSA,D,1.83,183,78,28/09/1981,28,Empangeni,Golden Arrows,A
22,Shu-Aib Walters,RSA,G,1.89,189,84,26/12/1981,28,Cape Town,Maritzburg U,A
23,Thanduyise Khuboni,RSA,M,1.81,181,72,23/05/1986,24,Durban,Golden Arrows,A
1,Fernando Muslera,URU,G,1.9,190,77,16/06/1986,23,Montevideo,Lazio,A
2,Diego Lugano,URU,D,1.88,188,84,02/11/1980,29,Canelones,Fenerbahçe,A
3,Diego God’n,URU,D,1.85,185,73,16/02/1986,24,Rosario,Villarreal,A
4,Jorge Fucile,URU,D,1.78,178,77,19/11/1984,25,Montevideo,FC Porto,A
5,Walter Gargano,URU,M,1.68,168,65,23/07/1984,25,Paysandù,Napoli,A
6,Mauricio Victorino,URU,D,1.8,180,78,11/10/1982,27,Montevideo,Universidad de Chile,A
7,Edinson Cavani,URU,F,1.84,184,71,14/02/1987,23,Montevideo,Palermo,A
8,Sebasti‡n Eguren,URU,M,1.86,186,84,08/01/1981,29,Montevideo,Villarreal,A
9,Luis Su‡rez,URU,F,1.81,181,81,24/01/1987,23,Salto,Ajax,A
10,Diego Forl‡n,URU,F,1.8,180,75,19/05/1979,31,Montevideo,Atl_tico Madrid,A
11,çlvaro Pereira,URU,M,1.85,185,80,28/11/1985,24,Montevideo,FC Porto,A
12,Juan Castillo,URU,G,1.82,182,80,17/04/1978,32,Montevideo,Deportivo Cali,A
13,Sebasti‡n Abreu,URU,F,1.93,193,84,17/10/1976,33,Minas Lavalleja,Botafogo,A
14,Nicol‡s Lodeiro,URU,M,1.7,170,69,18/12/1989,20,Paysandœ,Ajax,A
15,Diego P_rez,URU,M,1.77,177,81,18/05/1980,30,Montevideo,Monaco,A
16,Maximiliano Pereira,URU,D,1.73,173,70,08/06/1984,26,Montevideo,Benfica,A
17,Egidio Ar_valo,URU,M,1.69,169,71,01/01/1982,28,Paysandœ,Monterrey,A
18,Nacho Gonz‡lez,URU,M,1.8,180,73,14/05/1982,28,Montevideo,Valencia,A
19,Andr_s Scotti,URU,M,1.81,181,80,14/12/1975,34,Flores,Colo-Colo,A
20,çlvaro Fern‡ndez,URU,M,1.85,185,68,11/10/1985,24,Colonia,Universidad de Chile,A
21,Sebasti‡n Fern‡ndez,URU,F,1.67,167,69,23/05/1985,25,Montevideo,Banfield,A
22,Mart’n C‡ceres,URU,D,1.82,182,77,07/04/1987,23,Montevideo,Barcelona,A
23,Mart’n Silva,URU,G,1.86,186,80,25/03/1983,27,Montevideo,Defensor Sporting,A
